date,AAPL,ABBV,ABT,ADBE,AMD,AMT,AMZN,AXP,BA,BAC,BLK,CAT,COP,COST,CRM,CSCO,CVX,DIS,DUK,EQIX,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PLD,SBUX,SHW,SLB,SO,T,TGT,TMO,TSLA,UNH,UPS,V,VZ,WMT,XOM
2025-02-10,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-11,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-12,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-13,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-14,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-18,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-19,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-20,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-21,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-24,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-02-25,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
